event_name,fighter_red_name,fighter_blue_name,winner_side,weight_class,is_title_fight,method,method_detail,ending_round,ending_time_seconds,scheduled_rounds,source_url,status,bout_matchup,fighter_red_id,fighter_blue_id,event_id
UFC 320: Ankalaev vs. Pereira 2,Ateba Gautier,Tre'ston Vines,red,Middleweight Bout,False,KO/TKO,Punches to Head On Ground,1,101,3.0,http://ufcstats.com/fight-details/9418ebb3db2a4bae,completed,Ateba Gautier vs. Tre'ston Vines,848,,417.0
UFC Fight Night: Lopes vs. Silva,Diego Lopes,Jean Silva,red,Featherweight Bout,False,KO/TKO,Punches to Head On Ground,2,288,5.0,http://ufcstats.com/fight-details/de1a3734be60e6a1,completed,Diego Lopes vs. Jean Silva,4333,1499.0,
UFC Fight Night: Lopes vs. Silva,Rob Font,David Martinez,blue,Bantamweight Bout,False,Decision - Unanimous,Chris Lee 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,3,300,3.0,http://ufcstats.com/fight-details/944b929130b23c2a,completed,Rob Font vs. David Martinez,107,2768.0,
UFC Fight Night: Lopes vs. Silva,Rafa Garcia,Jared Gordon,red,Lightweight Bout,False,KO/TKO,Elbows to Head From Side Control,3,147,3.0,http://ufcstats.com/fight-details/7cbfeba85f86d1bf,completed,Rafa Garcia vs. Jared Gordon,4039,2010.0,
UFC Fight Night: Lopes vs. Silva,Kelvin Gastelum,Dustin Stoltzfus,red,Middleweight Bout,False,Decision - Unanimous,Chris Lee 27 - 30.Jeff Rexroad 28 - 29.Junichiro Kamijo 28 - 29.,3,300,3.0,http://ufcstats.com/fight-details/114d2f6fcd3f6f00,completed,Kelvin Gastelum vs. Dustin Stoltzfus,2512,2033.0,
UFC Fight Night: Lopes vs. Silva,Alexander Hernandez,Diego Ferreira,red,Lightweight Bout,False,KO/TKO,Punches to Head On Ground,2,226,3.0,http://ufcstats.com/fight-details/202c47db69768356,completed,Alexander Hernandez vs. Diego Ferreira,662,4398.0,
UFC Fight Night: Lopes vs. Silva,Santiago Luna,Quang Le,red,Bantamweight Bout,False,KO/TKO,Punch to Head On Ground,1,168,3.0,http://ufcstats.com/fight-details/8a884a7930d75ca9,completed,Santiago Luna vs. Quang Le,4497,931.0,
UFC Fight Night: Lopes vs. Silva,Jose Daniel Medina,Dusko Todorovic,blue,Middleweight Bout,False,Submission,Rear Naked Choke,1,261,3.0,http://ufcstats.com/fight-details/07a378b257aad5a9,completed,Jose Daniel Medina vs. Dusko Todorovic,3373,2398.0,
UFC Fight Night: Lopes vs. Silva,Claudio Puelles,Joaquim Silva,blue,Lightweight Bout,False,Decision - Split,Jesse Lorenty 28 - 29.Chris Lee 29 - 28.Junichiro Kamijo 28 - 29.,3,300,3.0,http://ufcstats.com/fight-details/352839a03b428e74,completed,Claudio Puelles vs. Joaquim Silva,3879,3147.0,
UFC Fight Night: Lopes vs. Silva,Tatiana Suarez,Amanda Lemos,red,Women's Strawweight Bout,False,Decision - Unanimous,Gino Garcia 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,3,300,3.0,http://ufcstats.com/fight-details/9474f64347aade7a,completed,Tatiana Suarez vs. Amanda Lemos,3183,1127.0,
UFC Fight Night: Lopes vs. Silva,Jesus Aguilar,Luis Gurule,red,Flyweight Bout,False,Decision - Unanimous,Jesse Lorenty 27 - 30.Chris Lee 28 - 29.Junichiro Kamijo 28 - 29.,3,300,3.0,http://ufcstats.com/fight-details/3dc1a6335d890650,completed,Jesus Aguilar vs. Luis Gurule,3463,726.0,
UFC Fight Night: Lopes vs. Silva,Zach Reese,Sedriques Dumas,,Middleweight Bout,False,Could Not Continue,Kick to Groin by Reese,1,51,3.0,http://ufcstats.com/fight-details/d822ebc7dbc6c259,completed,Zach Reese vs. Sedriques Dumas,632,1429.0,
UFC Fight Night: Lopes vs. Silva,Alessandro Costa,Alden Coria,blue,Flyweight Bout,False,KO/TKO,Punches to Head At Distance,3,47,3.0,http://ufcstats.com/fight-details/a1e193425e716b42,completed,Alessandro Costa vs. Alden Coria,1154,1695.0,
UFC Fight Night: Lopes vs. Silva,Montse Rendon,Alice Pereira,red,Women's Bantamweight Bout,False,Decision - Split,Jesse Lorenty 28 - 29.Junichiro Kamijo 29 - 28.Gino Garcia 27 - 30.,3,300,3.0,http://ufcstats.com/fight-details/c4a6174b0698652e,completed,Montse Rendon vs. Alice Pereira,1728,2317.0,
UFC Fight Night: Lopes vs. Silva,Rodrigo Sezinando,Daniil Donchenko,blue,Ultimate Fighter 33 Welterweight Tournament Title Bout,True,KO/TKO,Punches to Head At Distance,1,267,3.0,http://ufcstats.com/fight-details/3dd2fde7bff79c51,completed,Rodrigo Sezinando vs. Daniil Donchenko,3468,2019.0,
UFC Fight Night: Grasso vs. Shevchenko 2,Alexa Grasso,Valentina Shevchenko,,UFC Women's Flyweight Title Bout,True,Decision - Split,Junichiro Kamijo 47 - 48.Sal D'amato 48 - 47.Mike Bell 47 - 47.,5,300,5.0,http://ufcstats.com/fight-details/b395c89e19a3fec4,completed,Alexa Grasso vs. Valentina Shevchenko,4175,332.0,
UFC Fight Night: Grasso vs. Shevchenko 2,Kevin Holland,Jack Della Maddalena,blue,Welterweight Bout,False,Decision - Split,Eric Colon 28 - 29.Mike Bell 29 - 28.Sal D'amato 28 - 29.,3,300,3.0,http://ufcstats.com/fight-details/697efaf0d162e877,completed,Kevin Holland vs. Jack Della Maddalena,1069,1915.0,
